chr#	GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID
10	648 : 23412	BMI1 : COMMD3	ENSG00000168283 : ENSG00000148444	1066 : 23332	164831 : 616700	<NA> : Q9UBI1	<NA> : COMD3
15	701 : 56924	BUB1B : PAK6	ENSG00000156970 : ENSG00000137843	1149 : 16061	602860 : 608110		
9	883 : 51490	KYAT1 : SPOUT1	ENSG00000171097 : ENSG00000198917	1564 : 26933	600547 : 617614	Q16773 : Q5T280	KAT1 : CI114
17	1018 : 100134934	CDK3 : TEN1	ENSG00000250506 : ENSG00000257949	1772 : 37242	123828 : 613130	Q00526 : Q86WV5	CDK3 : TEN1L
22	1120 : 1375	CHKB : CPT1B	ENSG00000100288 : ENSG00000205560	1938 : 2329	612395 : 601987	Q9Y259 : Q92523	CHKB : CPT1B
11	1270 : 80829	CNTF : ZFP91	ENSG00000242689 : ENSG00000186660	2169 : 14983	118945 : 619289	P26441 : Q96JP5	CNTF : ZFP91
1	1325 : 378708	CORT : CENPS	ENSG00000241563 : ENSG00000175279	2257 : 23163	602784 : 609130		
22	1375 : 1120	CPT1B : CHKB	ENSG00000205560 : ENSG00000100288	2329 : 1938	601987 : 612395	Q92523 : Q9Y259	CPT1B : CHKB
17	1394 : 147081	CRHR1 : LINC02210	ENSG00000120088 : ENSG00000204650	2357 : 26327			
22	1454 : 400927	CSNK1E : TPTEP2		2453 : 53828			
11	1500 : 51075	CTNND1 : TMX2	ENSG00000198561 : ENSG00000213593	2515 : 30739	601045 : 616715	O60716 : Q9Y320	CTND1 : TMX2
7	1551 : 1578	CYP3A7 : CYP3A51P	ENSG00000160870 : ENSG00000282277	2640 : 42418			
7	1578 : 1551	CYP3A51P : CYP3A7	ENSG00000282277 : ENSG00000160870	42418 : 2640	<NA> : 605340		
1	1944 : 1945	EFNA3 : EFNA4	ENSG00000143590 : ENSG00000243364	3223 : 3224	601381 : 601380	P52797 : P52798	EFNA3 : EFNA4
1	1945 : 1944	EFNA4 : EFNA3	ENSG00000243364 : ENSG00000143590	3224 : 3223	601380 : 601381	P52798 : P52797	EFNA4 : EFNA3
1	1945 : 8751	EFNA4 : ADAM15	ENSG00000243364 : ENSG00000143537	3224 : 193	601380 : 605548	P52798 : Q13444	EFNA4 : ADA15
17	1973 : 26168	EIF4A1 : SENP3	ENSG00000161960 : ENSG00000161956	3282 : 17862	602641 : 612844	P60842 : Q9H4L4	IF4A1 : SENP3
13	2073 : 54841	ERCC5 : BIVM	ENSG00000134899 : ENSG00000134897	3437 : 16034	133530 : 619006	P28715 : Q86UB2	ERCC5 : BIVM
7	2086 : 51351	ERV3-1 : ZNF117	ENSG00000213462 : ENSG00000152926	3454 : 12897	131170 : 194624		
X	2277 : 8544	VEGFD : PIR	ENSG00000165197 : ENSG00000087842	3708 : 30048	300091 : 300931	O43915 : O00625	VEGFD : PIR
20	2280 : 27111	FKBP1A : SDCBP2	ENSG00000088832 : ENSG00000125775	3711 : 15756	186945 : 617358	P62942 : Q9H190	FKB1A : SDCB2
14	2342 : 91612	FNTB : CHURC1	ENSG00000257365 : ENSG00000258289	3785 : 20099	134636 : 608577	A0A384MEJ5 : Q8WUH1	A0A384MEJ5 : CHUR
12	2647 : 5959	BLOC1S1 : RDH5	ENSG00000135441 : ENSG00000135437	4200 : 9940	601444 : 601617	P78537 : Q92781	BL1S1 : RDH5
9	2790 : 548645	GNG10 : DNAJC25	ENSG00000242616 : ENSG00000059769	4402 : 34187			
22	2812 : 5413	GP1BB : SEPTIN5	ENSG00000203618 : ENSG00000184702	4440 : 9164	138720 : 602724	P13224 : Q99719	GP1BB : SEPT5
6	2978 : 114841037	GUCA1A : GUCA1ANB	ENSG00000048545 : ENSG00000287363	4678 : 55126			
X	3188 : 6173	HNRNPH2 : RPL36A	ENSG00000126945 : ENSG00000241343	5042 : 10359	300610 : 300902	P55795 : P83881	HNRH2 : RL36A
7	3205 : 3206	HOXA9 : HOXA10	ENSG00000078399 : ENSG00000253293	5109 : 5100	142956 : 142957	P31269 : P31260	HXA9 : HXA10
7	3206 : 3205	HOXA10 : HOXA9	ENSG00000253293 : ENSG00000078399	5100 : 5109	142957 : 142956	P31260 : P31269	HXA10 : HXA9
9	3293 : 11046	HSD17B3 : SLC35D2	ENSG00000130948 : ENSG00000130958	5212 : 20799	605573 : 609182	P37058 : Q76EJ3	DHB3 : S35D2
11	3316 : 91894	HSPB2 : C11orf52	ENSG00000170276 : ENSG00000149300	5247 : 30531		Q16082 : Q96A22	HSPB2 : CK052
2	3336 : 25843	HSPE1 : MOB4	ENSG00000115541 : ENSG00000115540	5269 : 17261	600141 : 609361	P61604 : Q9Y3A3	CH10 : PHOCN
21	3455 : 3588	IFNAR2 : IL10RB	ENSG00000159110 : ENSG00000243646	5433 : 5965	602376 : 123889	P48551 : Q08334	INAR2 : I10R2
11	3481 : 3630	IGF2 : INS	ENSG00000167244 : ENSG00000254647	5466 : 6081	147470 : 176730	P01344 : P01308	IGF2 : INS
21	3588 : 3455	IL10RB : IFNAR2	ENSG00000243646 : ENSG00000159110	5965 : 5433	123889 : 602376	Q08334 : P48551	I10R2 : INAR2
11	3630 : 3481	INS : IGF2	ENSG00000254647 : ENSG00000167244	6081 : 5466	176730 : 147470	P01308 : P01344	INS : IGF2
2	4065 : 9936	LY75 : CD302	ENSG00000054219 : ENSG00000241399	6729 : 30843	604524 : 612246	Q59H44 : Q8IX05	Q59H44 : CD302
X	4104 : 4109	MAGEA5P : MAGEA10	<NA> : ENSG00000124260	6803 : 6797	300340 : 300343	<NA> : P43363	<NA> : MAGAA
X	4109 : 4104	MAGEA10 : MAGEA5P		6797 : 6803	300343 : 300340		
6	4439 : 401251	MSH5 : SAPCD1	ENSG00000204410 : ENSG00000228727	7328 : 13938		O43196 : Q5SSQ6	MSH5 : SAPC1
1	4681 : 440574	NBL1 : MICOS10	ENSG00000158747 : ENSG00000173436	7650 : 32068	600613 : 616574	A0A087WTY6 : Q5TGZ0	A0A087WTY6 : MIC10
11	4718 : 65987	NDUFC2 : KCTD14	ENSG00000151366 : ENSG00000151364	7706 : 23295		O95298 : Q9BQ13	NDUC2 : KCD14
14	4738 : 145553	NEDD8 : MDP1	ENSG00000129559 : ENSG00000213920	7732 : 28781		Q15843 : Q86V88	NEDD8 : MGDP1
17	4830 : 4831	NME1 : NME2	ENSG00000239672 : ENSG00000243678	7849 : 7850	156490 : 156491	P15531 : Q6FHN3	NDKA : Q6FHN3
17	4831 : 4830	NME2 : NME1	ENSG00000243678 : ENSG00000239672	7850 : 7849	156491 : 156490	Q6FHN3 : P15531	Q6FHN3 : NDKA
17	5026 : 30851	P2RX5 : TAX1BP3	ENSG00000083454 : ENSG00000213977	8536 : 30684	602836 : 616484	Q93086 : O14907	P2RX5 : TX1B3
19	5032 : 56342	P2RY11 : PPAN	ENSG00000244165 : ENSG00000130810	8540 : 9227	602697 : 607793	Q96G91 : A8MV53	P2Y11 : A8MV53
22	5413 : 2812	SEPTIN5 : GP1BB	ENSG00000184702 : ENSG00000203618	9164 : 4440	602724 : 138720	Q99719 : P13224	SEPT5 : GP1BB
5	5459 : 54439	POU4F3 : RBM27	ENSG00000091010 : ENSG00000091009	9220 : 29243	602460 : 620082	Q15319 : Q9P2N5	PO4F3 : RBM27
12	5554 : 11272	PRH1 : PRR4	ENSG00000231887 : ENSG00000111215	9366 : 18020	168730 : 605359	A0A087WV42 : Q16378	A0A087WV42 : PROL4
12	5554 : 50840	PRH1 : TAS2R14	ENSG00000231887 : ENSG00000212127	9366 : 14920	168730 : 604790	A0A087WV42 : Q9NYV8	A0A087WV42 : T2R14
14	5687 : 9692	PSMA6 : PRORP	ENSG00000100902 : ENSG00000100890	9535 : 19958	602855 : 609947	P60900 : O15091	PSA6 : MRPP3
9	5736 : 107133486	PTGER4P2 : CDK2AP2P2		9598 : 38493			
17	5892 : 117584	RAD51D : RFFL	ENSG00000185379 : ENSG00000092871	9823 : 24821	602954 : 609735	O75771 : Q8WZ73	RA51D : RFFL
11	5936 : 10432	RBM4 : RBM14	ENSG00000173933 : ENSG00000239306	9901 : 14219	602571 : 612409	Q9BWF3 : A0A0S2Z4Z0	RBM4 : A0A0S2Z4Z0
12	5959 : 2647	RDH5 : BLOC1S1	ENSG00000135437 : ENSG00000135441	9940 : 4200	601617 : 601444	Q92781 : P78537	RDH5 : BL1S1
18	6139 : 497661	RPL17 : C18orf32	ENSG00000265681 : ENSG00000177576	10307 : 31690	603661 : 619979	P18621 : Q8TCD1	RL17 : CR032
X	6173 : 3188	RPL36A : HNRNPH2	ENSG00000241343 : ENSG00000126945	10359 : 5042	300902 : 300610	P83881 : P55795	RL36A : HNRH2
6	6204 : 11165	RPS10 : NUDT3	ENSG00000124614 : ENSG00000272325	10383 : 8050	603632 : 609228	P46783 : O95989	RS10 : NUDT3
11	6289 : 6291	SAA2 : SAA4	ENSG00000134339 : ENSG00000148965	10514 : 10516	104751 : 104752	P0DJI9 : P35542	SAA2 : SAA4
11	6291 : 6289	SAA4 : SAA2	ENSG00000148965 : ENSG00000134339	10516 : 10514	104752 : 104751	P35542 : P0DJI9	SAA4 : SAA2
17	6358 : 6359	CCL14 : CCL15	ENSG00000276409 : ENSG00000275718	10612 : 10613	601392 : 601393	Q16627 : Q16663	CCL14 : CCL15
17	6359 : 6358	CCL15 : CCL14	ENSG00000275718 : ENSG00000276409	10613 : 10612	601393 : 601392	Q16663 : Q16627	CCL15 : CCL14
15	6447 : 9824	SCG5 : ARHGAP11A	ENSG00000166922 : ENSG00000198826	10816 : 15783	173120 : 610589	P05408 : Q6P4F7	7B2 : RHGBA
21	6450 : 7485	SH3BGR : GET1	ENSG00000185437 : ENSG00000182093	10822 : 12790	602230 : 602915	P55822 : O00258	SH3BG : GET1
10	6585 : 84986	SLIT1 : ARHGAP19	ENSG00000187122 : ENSG00000213390	11085 : 23724	603742 : 611587	O75093 : Q14CB8	SLIT1 : RHG19
16	6818 : 548593	SULT1A3 : SLX1A	ENSG00000261052 : ENSG00000132207	11455 : 20922	600641 : 615822		
11	7007 : 219899	TECTA : TBCEL	ENSG00000109927 : ENSG00000154114	11720 : 28115	602574 : 610451	O75443 : Q5QJ74	TECTA : TBCEL
8	7163 : 28957	TPD52 : MRPS28	ENSG00000076554 : ENSG00000147586	12005 : 14513	604068 : 611990	P55327 : Q9Y2Q9	TPD52 : RT28
1	7257 : 27185	TSNAX : DISC1	ENSG00000116918 : ENSG00000162946	12380 : 2888	602964 : 605210	Q99598 : Q9NRI5	TSNAX : DISC1
1	7268 : 374977	TTC4 : MROH7	ENSG00000243725 : ENSG00000184313	12394 : 24802		O95801 : Q68CQ1	TTC4 : MROH7
20	7335 : 387521	UBE2V1 : PEDS1	ENSG00000244687 : ENSG00000240849	12494 : 16735	602995 : 610994		
21	7485 : 6450	GET1 : SH3BGR	ENSG00000182093 : ENSG00000185437	12790 : 10822	602915 : 602230	O00258 : P55822	GET1 : SH3BG
19	7554 : 105372481	ZNF8 : ERVK3-1	ENSG00000278129 : ENSG00000142396	13154 : 30466			
19	7568 : 90589	ZNF20 : ZNF625	ENSG00000132010 : ENSG00000257591	12992 : 30571		P17024 : Q96I27	ZNF20 : ZN625
19	7730 : 84527	ZNF177 : ZNF559	ENSG00000188629 : ENSG00000188321	12966 : 28197		<NA> : Q9BR84	<NA> : ZN559
2	7844 : 51652	RNF103 : CHMP3	ENSG00000239305 : ENSG00000115561	12859 : 29865	602507 : 610052		
6	7919 : 534	DDX39B : ATP6V1G2	ENSG00000198563 : ENSG00000213760	13917 : 862	142560 : 606853	Q13838 : O95670	DX39B : VATG2
14	8106 : 599	PABPN1 : BCL2L2	ENSG00000100836 : ENSG00000129473	8565 : 995	602279 : 601931	Q86U42 : Q92843	PABP2 : B2CL2
19	8190 : 53916	MIA : RAB4B	ENSG00000261857 : ENSG00000167578	7076 : 9782	601340 : 612945	Q16674 : P61018	MIA : RAB4B
12	8302 : 22914	KLRC4 : KLRK1	ENSG00000183542 : ENSG00000213809	6377 : 18788	602893 : 611817		
1	8503 : 110117498	PIK3R3 : P3R3URF	ENSG00000117461 : ENSG00000250719	8981 : 53451		Q92569 : A0A087WWA1	P55G : P3URF
10	8509 : 100507331	NDST2 : ZSWIM8-AS1	ENSG00000166507 : ENSG00000272589	7681 : 45103			
X	8544 : 2277	PIR : VEGFD	ENSG00000087842 : ENSG00000165197	30048 : 3708	300931 : 300091	O00625 : O43915	PIR : VEGFD
9	8577 : 91283	TMEFF1 : MSANTD3	ENSG00000241697 : ENSG00000066697	11866 : 23370		<NA> : Q96H12	<NA> : MSD3
12	8620 : 11016	NPFF : ATF7	ENSG00000139574 : ENSG00000170653	7901 : 792	604643 : 606371	O15130 : P17544	NPFF : ATF7
5	8637 : 54882	EIF4EBP3 : ANKHD1	ENSG00000243056 : ENSG00000131503	3290 : 24714	603483 : 610500		
20	8675 : 79716	STX16 : NPEPL1	ENSG00000124222 : ENSG00000215440	11431 : 16244		O14662 : Q8NDH3	STX16 : PEPL1
12	8693 : 282809	GALNT4 : POC1B	ENSG00000257594 : ENSG00000139323	4126 : 30836	603565 : 614784	<NA> : Q8TC44	<NA> : POC1B
17	8741 : 8742	TNFSF13 : TNFSF12	ENSG00000161955 : ENSG00000239697	11928 : 11927	604472 : 602695	O75888 : Q4ACW9	TNF13 : Q4ACW9
17	8742 : 8741	TNFSF12 : TNFSF13	ENSG00000239697 : ENSG00000161955	11927 : 11928	602695 : 604472	Q4ACW9 : O75888	Q4ACW9 : TNF13
1	8751 : 1945	ADAM15 : EFNA4	ENSG00000143537 : ENSG00000243364	193 : 3224	605548 : 601380	Q13444 : P52798	ADA15 : EFNA4
20	8771 : 51750	TNFRSF6B : RTEL1	ENSG00000243509 : ENSG00000258366	11921 : 15888	603361 : 608833	O95407 : Q9NZ71	TNF6B : RTEL1
1	8790 : 51086	FPGT : TNNI3K	ENSG00000254685 : ENSG00000116783	3825 : 19661	603609 : 613932		
4	8987 : 100129583	STBD1 : FAM47E	ENSG00000118804 : ENSG00000189157	24854 : 34343			
15	9236 : 161582	CCPG1 : DNAAF4	ENSG00000260916 : ENSG00000256061	24227 : 21493	611326 : 608706	Q9ULG6 : Q8WXU2	CCPG1 : DAAF4
16	9284 : 339039	NPIPA1 : PKD1P3	ENSG00000183426 : ENSG00000183458	7909 : 30067			
6	9374 : 80864	PPT2 : EGFL8	ENSG00000221988 : ENSG00000241404	9326 : 13944	603298 : 609897	Q9UMR5 : Q99944	PPT2 : EGFL8
6	9521 : 63915	EEF1E1 : BLOC1S5	ENSG00000124802 : ENSG00000188428	3212 : 18561	609206 : 607289	O43324 : Q8TDH9	MCA3 : BL1S5
7	9551 : 26024	ATP5MF : PTCD1	ENSG00000241468 : ENSG00000106246	848 : 22198	619792 : 614774	P56134 : O75127	ATPK : PTCD1
14	9692 : 5687	PRORP : PSMA6	ENSG00000100890 : ENSG00000100902	19958 : 9535	609947 : 602855	O15091 : P60900	MRPP3 : PSA6
3	9718 : 110599564	ECE2 : EEF1AKMT4	ENSG00000145194 : ENSG00000284753	13275 : 53611		<NA> : P0DPD7	<NA> : EFMT4
6	9729 : 387104	KIAA0408 : SOGA3	ENSG00000189367 : ENSG00000214338	21636 : 21494		Q6ZU52 : Q5TF21	K0408 : SOGA3
X	9737 : 100287765	GPRASP1 : LINC00630		24834 : 44263			
X	9737 : 114928	GPRASP1 : GPRASP2	ENSG00000198932 : ENSG00000158301	24834 : 25169	300417 : 300969	Q5JY77 : B3KW05	GASP1 : B3KW05
X	9737 : 64860	GPRASP1 : ARMCX5	ENSG00000198932 : ENSG00000125962	24834 : 25772	300417 : 301047	Q5JY77 : Q6P1M9	GASP1 : ARMX5
X	9737 : 80823	GPRASP1 : GPRASP3	ENSG00000198932 : ENSG00000198908	24834 : 29353	300417 : 300921	Q5JY77 : Q6PI77	GASP1 : BHLH9
15	9824 : 6447	ARHGAP11A : SCG5	ENSG00000198826 : ENSG00000166922	15783 : 10816	610589 : 173120	Q6P4F7 : P05408	RHGBA : 7B2
2	9936 : 4065	CD302 : LY75	ENSG00000241399 : ENSG00000054219	30843 : 6729	612246 : 604524	Q8IX05 : Q59H44	CD302 : Q59H44
5	10016 : 57491	PDCD6 : AHRR	ENSG00000249915 : ENSG00000063438	8765 : 346	601057 : 606517	O75340 : A9YTQ3	PDCD6 : AHRR
7	10061 : 114483833	ABCF2 : H2BK1	ENSG00000033050 : ENSG00000285480	71 : 53833			
3	10093 : 26140	ARPC4 : TTLL3	ENSG00000241553 : ENSG00000214021	707 : 24483	604226 : 619195	P59998 : Q9Y4R7	ARPC4 : TTLL3
3	10168 : 285349	ZNF197 : ZNF660	ENSG00000186448 : ENSG00000144792	12988 : 26720		O14709 : Q6AZW8	ZN197 : ZN660
15	10169 : 25764	SERF2 : HYPK	ENSG00000140264 : ENSG00000242028	10757 : 18418	605054 : 612784	P84101 : Q9NX55	SERF2 : HYPK
15	10239 : 348110	AP3S2 : ARPIN	ENSG00000157823 : ENSG00000242498	571 : 28782	602416 : 615543	P59780 : Q7Z6K5	AP3S2 : ARPIN
11	10432 : 5936	RBM14 : RBM4	ENSG00000239306 : ENSG00000173933	14219 : 9901	612409 : 602571	A0A0S2Z4Z0 : Q9BWF3	A0A0S2Z4Z0 : RBM4
15	10588 : 400410	MTHFS : ST20	ENSG00000136371 : ENSG00000180953	7437 : 33520			
6	10695 : 27232	CNPY3 : GNMT	ENSG00000137161 : ENSG00000124713	11968 : 4415	610774 : 606628	Q9BT09 : Q14749	CNPY3 : GNMT
2	10936 : 51130	GPR75 : ASB3	ENSG00000119737 : ENSG00000115239	4526 : 16013	606704 : 605760		
12	11016 : 8620	ATF7 : NPFF	ENSG00000170653 : ENSG00000139574	792 : 7901	606371 : 604643	P17544 : O15130	ATF7 : NPFF
2	11036 : 11037	GTF2A1L : STON1	ENSG00000242441 : ENSG00000243244	30727 : 17003	605358 : 605357	Q9UNN4 : B2RB25	TF2AY : B2RB25
2	11037 : 11036	STON1 : GTF2A1L	ENSG00000243244 : ENSG00000242441	17003 : 30727	605357 : 605358	B2RB25 : Q9UNN4	B2RB25 : TF2AY
9	11046 : 3293	SLC35D2 : HSD17B3	ENSG00000130958 : ENSG00000130948	20799 : 5212	609182 : 605573	Q76EJ3 : P37058	S35D2 : DHB3
7	11062 : 55973	DUS4L : BCAP29	ENSG00000105865 : ENSG00000075790	21517 : 24131	<NA> : 619612	O95620 : Q9UHQ4	DUS4L : BAP29
6	11165 : 6204	NUDT3 : RPS10	ENSG00000272325 : ENSG00000124614	8050 : 10383	609228 : 603632	O95989 : P46783	NUDT3 : RS10
7	11185 : 84182	INMT : MINDY4	ENSG00000241644 : ENSG00000106125	6069 : 21916		O95050 : Q4G0A6	INMT : MINY4
X	11238 : 340591	CA5B : CA5BP1		1378 : 29544			
1	11243 : 632	PMF1 : BGLAP	ENSG00000160783 : ENSG00000242252	9112 : 1043	609176 : 112260	<NA> : P02818	<NA> : OSTCN
8	11244 : 84933	ZHX1 : C8orf76	ENSG00000165156 : ENSG00000189376	12871 : 25924		Q9UKY1 : Q96K31	ZHX1 : CH076
12	11272 : 5554	PRR4 : PRH1	ENSG00000111215 : ENSG00000231887	18020 : 9366	605359 : 168730	Q16378 : A0A087WV42	PROL4 : A0A087WV42
3	11277 : 84126	TREX1 : ATRIP	ENSG00000213689 : ENSG00000164053	12269 : 33499	606609 : 606605	Q9NSU2 : Q8WXE1	TREX1 : ATRIP
12	22914 : 8302	KLRK1 : KLRC4	ENSG00000213809 : ENSG00000183542	18788 : 6377	611817 : 602893	<NA> : O43908	<NA> : NKG2F
22	23384 : 135	SPECC1L : ADORA2A	ENSG00000100014 : ENSG00000128271	29022 : 263	614140 : 102776	Q69YQ0 : P29274	CYTSA : AA2AR
10	23412 : 648	COMMD3 : BMI1	ENSG00000148444 : ENSG00000168283	23332 : 1066	616700 : 164831		
2	23559 : 83444	WBP1 : INO80B	ENSG00000239779 : ENSG00000115274	12737 : 13324	606961 : 616456	Q96G27 : Q9C086	WBP1 : IN80B
5	23600 : 114899	AMACR : C1QTNF3	ENSG00000242110 : ENSG00000082196	451 : 14326	604489 : 612045	Q9UHK6 : Q9BXJ4	AMACR : C1QT3
8	23678 : 56260	SGK3 : C8orf44	ENSG00000104205 : ENSG00000288596	10812 : 25646			
22	23779 : 55615	ARHGAP8 : PRR5	ENSG00000241484 : ENSG00000186654	677 : 31682	609405 : 609406	P85298 : P85299	RHG08 : PRR5
15	25764 : 10169	HYPK : SERF2	ENSG00000242028 : ENSG00000140264	18418 : 10757	612784 : 605054	Q9NX55 : P84101	HYPK : SERF2
2	25843 : 3336	MOB4 : HSPE1	ENSG00000115540 : ENSG00000115541	17261 : 5269	609361 : 600141	Q9Y3A3 : P61604	PHOCN : CH10
11	25858 : 50801	CATSPERZ : KCNK4	ENSG00000219435 : ENSG00000182450	19231 : 6279	617511 : 605720	Q9NTU4 : Q9NYG8	CTSRZ : KCNK4
3	25864 : 95	ABHD14A : ACY1	ENSG00000248487 : ENSG00000243989	24538 : 177	618771 : 104620	Q9BUJ0 : Q03154	ABHEA : ACY1
1	25950 : 148534	RWDD3 : TLCD4	ENSG00000122481 : ENSG00000152078	21393 : 26477		Q9Y3V2 : Q96MV1	RWDD3 : TLCD4
7	26024 : 9551	PTCD1 : ATP5MF	ENSG00000106246 : ENSG00000241468	22198 : 848	614774 : 619792	O75127 : P56134	PTCD1 : ATPK
3	26140 : 10093	TTLL3 : ARPC4	ENSG00000214021 : ENSG00000241553	24483 : 707	619195 : 604226	Q9Y4R7 : P59998	TTLL3 : ARPC4
17	26168 : 1973	SENP3 : EIF4A1	ENSG00000161956 : ENSG00000161960	17862 : 3282	612844 : 602641	Q9H4L4 : P60842	SENP3 : IF4A1
1	26292 : 81025	MYCBP : GJA9	ENSG00000214114 : ENSG00000131233	7554 : 19155	606535 : 611923	Q99417 : P57773	MYCBP : CXA9
11	26580 : 221092	BSCL2 : HNRNPUL2	ENSG00000168000 : ENSG00000214753	15832 : 25451		Q96G97 : Q1KMD3	BSCL2 : HNRL2
3	27031 : 84129	NPHP3 : ACAD11	ENSG00000113971 : ENSG00000240303	7907 : 30211	608002 : 614288	Q7Z494 : Q709F0	NPHP3 : ACD11
9	27090 : 203	ST6GALNAC4 : AK1	ENSG00000136840 : ENSG00000106992	17846 : 361	606378 : 103000	Q9H4F1 : P00568	SIA7D : KAD1
9	27090 : 30815	ST6GALNAC4 : ST6GALNAC6	ENSG00000136840 : ENSG00000160408	17846 : 23364	606378 : 610135	Q9H4F1 : Q969X2	SIA7D : SIA7F
20	27111 : 2280	SDCBP2 : FKBP1A	ENSG00000125775 : ENSG00000088832	15756 : 3711	617358 : 186945	Q9H190 : P62942	SDCB2 : FKB1A
1	27185 : 7257	DISC1 : TSNAX	ENSG00000162946 : ENSG00000116918	2888 : 12380	605210 : 602964	Q9NRI5 : Q99598	DISC1 : TSNAX
6	27232 : 10695	GNMT : CNPY3	ENSG00000124713 : ENSG00000137161	4415 : 11968	606628 : 610774	Q14749 : Q9BT09	GNMT : CNPY3
12	28234 : 338821	SLCO1B3 : SLCO1B7		10961 : 32934	605495 : 619875	Q9NPD5 : G3V0H7	SO1B3 : SO1B7
8	28957 : 7163	MRPS28 : TPD52	ENSG00000147586 : ENSG00000076554	14513 : 12005	611990 : 604068	Q9Y2Q9 : P55327	RT28 : TPD52
11	29907 : 402	SNX15 : ARL2	ENSG00000110025 : ENSG00000213465	14978 : 693	605964 : 601175	Q9NRS6 : P36404	SNX15 : ARL2
3	29970 : 654502	SCHIP1 : IQCJ	ENSG00000151967 : ENSG00000214216	15678 : 32406	619206 : 611622	P0DPB3 : Q1A5X6	SCHI1 : IQCJ
7	29990 : 101735302	PILRB : STAG3L5P	ENSG00000121716 : ENSG00000290682	18297 : 48896			
7	29990 : 101752334	PILRB : PVRIG2P		18297 : 48897			
9	30815 : 203	ST6GALNAC6 : AK1	ENSG00000160408 : ENSG00000106992	23364 : 361	610135 : 103000	Q969X2 : P00568	SIA7F : KAD1
9	30815 : 27090	ST6GALNAC6 : ST6GALNAC4	ENSG00000160408 : ENSG00000136840	23364 : 17846	610135 : 606378	Q969X2 : Q9H4F1	SIA7F : SIA7D
17	30851 : 5026	TAX1BP3 : P2RX5	ENSG00000213977 : ENSG00000083454	30684 : 8536	616484 : 602836	O14907 : Q93086	TX1B3 : P2RX5
10	50624 : 196792	CUZD1 : FAM24B	ENSG00000138161 : ENSG00000213185	17937 : 23475		Q86UP6 : Q8N5W8	CUZD1 : FA24B
8	50626 : 84773	ZFTRAF1 : TMEM276	ENSG00000187954 : ENSG00000187954	17806 : 56235			
11	50801 : 25858	KCNK4 : CATSPERZ	ENSG00000182450 : ENSG00000219435	6279 : 19231	605720 : 617511	Q9NYG8 : Q9NTU4	KCNK4 : CTSRZ
12	50840 : 5554	TAS2R14 : PRH1	ENSG00000212127 : ENSG00000231887	14920 : 9366	604790 : 168730	Q9NYV8 : A0A087WV42	T2R14 : A0A087WV42
20	51012 : 514	PRELID3B : ATP5F1E	ENSG00000101166 : ENSG00000124172	15892 : 838	<NA> : 606153	Q9Y3B1 : P56381	PLD3B : ATP5E
5	51014 : 353376	TMED7 : TICAM2	ENSG00000134970 : ENSG00000243414	24253 : 21354	619990 : 608321		
16	51025 : 79585	PAM16 : CORO7	ENSG00000217930 : ENSG00000262246	29679 : 26161	614336 : 611668	Q9Y3D7 : P57737	TIM16 : CORO7
11	51075 : 1500	TMX2 : CTNND1	ENSG00000213593 : ENSG00000198561	30739 : 2515	616715 : 601045	Q9Y320 : O60716	TMX2 : CTND1
